1086	2	a	Smug , artificial , ill-constructed and fatally overlong ... it never finds a consistent tone and lacks bite , degenerating into a pious , preachy soap opera .
1201	3	a	It 's far from a frothy piece , and the characters are complex , laden with plenty of baggage and tinged with tragic undertones .
2228	3	a	The film boasts at least a few good ideas and features some decent performances , but the result is disappointing .
1508	2	a	It seems Grant does n't need the floppy hair and the self-deprecating stammers after all .
4972	2	a	A very pretty after-school special .
2947	3	a	The film does give a pretty good overall picture of the situation in Laramie following the murder of Matthew Shepard .
7891	3	a	Bring tissues .
1899	2	a	Secretary is not a movie about fetishism .
548	1	a	Blue Crush follows the formula , but throws in too many conflicts to keep the story compelling .
249	0	a	Black-and-white and unrealistic .
2367	1	a	Director Shekhar Kapur and screenwriters Michael Schiffer and Hossein Amini have tried hard to modernize and reconceptualize things , but the barriers finally prove to be too great .
1058	3	a	The new Insomnia is a surprisingly faithful remake of its chilly predecessor , and when it does elect to head off in its own direction , it employs changes that fit it well rather than ones that were imposed for the sake of commercial sensibilities .
4491	1	a	All too familiar ... basically the sort of cautionary tale that was old when ` Angels With Dirty Faces ' appeared in 1938 .
6132	3	a	Even though we know the outcome , the seesawing of the general 's fate in the arguments of competing lawyers has the stomach-knotting suspense of a legal thriller , while the testimony of witnesses lends the film a resonant undertone of tragedy .
2553	4	a	One of those movies that catches you up in something bigger than yourself , namely , an archetypal desire to enjoy good trash every now and then .
3499	4	a	Those who are n't put off by the film 's austerity will find it more than capable of rewarding them .
5032	2	a	OK arthouse .
3017	1	a	If I want music , I 'll buy the soundtrack .
107	2	a	The narrative is so consistently unimaginative that probably the only way to have saved the film is with the aid of those wisecracking Mystery Science Theater 3000 guys .
3975	4	a	It 's packed with adventure and a worthwhile environmental message , so it 's great for the kids .
1947	4	a	Real Women may have many agendas , but it also will win you over , in a big way .
1773	2	a	Auto Focus is not your standard Hollywood bio-pic .
908	0	a	Lots of effort and intelligence are on display but in execution it is all awkward , static , and lifeless rumblings .
7996	3	a	Even when he 's not at his most critically insightful , Godard can still be smarter than any 50 other filmmakers still at work .
5278	2	a	It 's got some pretentious eye-rolling moments and it did n't entirely grab me , but there 's stuff here to like .
7524	4	a	One of the year 's best films , featuring an Oscar-worthy performance by Julianne Moore .
1901	0	a	A rip-off twice removed , modeled after -LRB- Seagal 's -RRB- earlier copycat Under Siege , sometimes referred to as Die Hard on a boat .
7720	1	a	A seriously bad film with seriously warped logic by writer-director Kurt Wimmer at the screenplay level .
6695	1	a	Watching junk like this induces a kind of abstract guilt , as if you were paying dues for good books unread , fine music never heard .
7880	1	a	Too bad Kramer could n't make a guest appearance to liven things up .
5824	1	a	There 's something fishy about a seasonal holiday kids ' movie ... that derives its moment of most convincing emotional gravity from a scene where Santa gives gifts to grownups .
5409	1	a	The verdict : Two bodies and hardly a laugh between them .
3794	1	a	-LRB- A -RRB- painfully flat gross-out comedy ...
6384	3	a	If Ayurveda can help us return to a sane regimen of eating , sleeping and stress-reducing contemplation , it is clearly a good thing .
434	4	a	It sends you away a believer again and quite cheered at just that .
7283	2	a	It is n't that the picture is unfamiliar , but that it manages to find new avenues of discourse on old problems .
6387	2	a	Has its share of arresting images .
8273	3	a	In its treatment of the dehumanizing and ego-destroying process of unemployment , Time Out offers an exploration that is more accurate than anything I have seen in an American film .
1409	3	a	Birot creates a drama with such a well-defined sense of place and age -- as in , 15 years old -- that the torments and angst become almost as operatic to us as they are to her characters .
8002	4	a	Romantic comedy and Dogme 95 filmmaking may seem odd bedfellows , but they turn out to be delightfully compatible here .
4375	4	a	A hugely rewarding experience that 's every bit as enlightening , insightful and entertaining as Grant 's two best films -- Four Weddings and a Funeral and Bridget Jones 's Diary .
4031	0	a	If I could have looked into my future and saw how bad this movie was , I would go back and choose to skip it .
1617	1	a	The movie 's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story .
71	3	a	-LRB- Scherfig -RRB- has made a movie that will leave you wondering about the characters ' lives after the clever credits roll .
4627	4	a	While Parker and co-writer Catherine di Napoli are faithful to Melville 's plotline , they and a fully engaged supporting cast ... have made the old boy 's characters more quick-witted than any English Lit major would have thought possible .
6481	3	a	Compared to his series of spectacular belly flops both on and off the screen , RunTelDat is something of a triumph .
6573	2	a	It 's difficult to discern if this is a crazy work of disturbed genius or merely 90 minutes of post-adolescent Electra rebellion .
7669	1	a	Each story is built on a potentially interesting idea , but the first two are ruined by amateurish writing and acting , while the third feels limited by its short running time .
7053	2	a	And I expect much more from a talent as outstanding as director Bruce McCulloch .
5861	1	a	... a low rate Annie featuring some kid who ca n't act , only echoes of Jordan , and weirdo actor Crispin Glover screwing things up old school .
401	2	a	The movie plays up the cartoon 's more obvious strength of snazziness while neglecting its less conspicuous writing strength .
6856	0	a	-LRB- T -RRB- his slop does n't even have potential as a cult film , as it 's too loud to shout insults at the screen .
3258	2	a	A perfectly competent and often imaginative film that lacks what little Lilo & Stitch had in spades -- charisma .
6032	3	a	A crisp psychological drama -LRB- and -RRB- a fascinating little thriller that would have been perfect for an old `` Twilight Zone '' episode .
1490	1	a	A sometimes incisive and sensitive portrait that is undercut by its awkward structure and a final veering toward melodrama .
6630	1	a	Boasting some of the most poorly staged and lit action in memory , Impostor is as close as you can get to an imitation movie .
2395	1	a	Lookin ' for sin , American-style ?
4303	3	a	Lawrence plumbs personal tragedy and also the human comedy .
5346	4	a	It is definitely worth seeing .
