3538	1	a	out ballsy and stylish
3174	0	a	as in aimless , arduous , and arbitrary .
774	0	a	An EXIT sign , that is .
1481	0	a	What could have been right at home as a nifty plot line in Steven Soderbergh 's Traffic fails to arrive at any satisfying destination .
1944	1	a	An engrossing story that combines psychological drama , sociological reflection , and high-octane thriller .
6036	0	a	Whatever satire Lucky Break was aiming for , it certainly got lost in the `` soon-to-be-forgettable '' section of the quirky rip-off prison romp pile .
2995	1	a	A fun family movie that 's suitable for all ages -- a movie that will make you laugh , cry and realize , ` It 's never too late to believe in your dreams . '
6094	0	a	For dance completists only .
82	1	a	A surprisingly ` solid ' achievement by director Malcolm D. Lee and writer John Ridley .
6841	1	a	It 's refreshing to see a romance this smart .
3386	1	a	It 's crafty , energetic and smart -- the kid is sort of like a fourteen-year old Ferris Bueller .
87	1	a	Filmmaker Tian Zhuangzhuang triumphantly returns to narrative filmmaking with a visually masterful work of quiet power .
5012	0	a	Jackass is a vulgar and cheap-looking version of Candid Camera staged for the Marquis de Sade set .
5793	1	a	Hashiguchi covers this territory with wit and originality , suggesting that with his fourth feature -- the first to be released in the U.S. -- a major director is emerging in world cinema .
4032	0	a	Death might be a release .
3603	0	a	Long before it 's over , you 'll be thinking of 51 ways to leave this loser .
2940	1	a	Astonishingly skillful and moving ... it could become a historically significant work as well as a masterfully made one .
6093	1	a	But on the whole , you 're gonna like this movie .
3230	1	a	Although largely a heavy-handed indictment of parental failings and the indifference of Spanish social workers and legal system towards child abuse , the film retains ambiguities that make it well worth watching .
1038	1	a	While the path may be familiar , first-time director Denzel Washington and a top-notch cast manage to keep things interesting .
5017	1	a	an original and highly cerebral examination of the psychopathic mind
971	1	a	I do n't know if Frailty will turn Bill Paxton into an A-list director , but he can rest contentedly with the knowledge that he 's made at least one damn fine horror movie .
272	0	a	Remember back when thrillers actually thrilled ?
5767	0	a	The lousy lead performances ... keep the movie from ever reaching the comic heights it obviously desired .
5808	0	a	The movie is too impressed with its own solemn insights to work up much entertainment value .
529	0	a	Statham employs an accent that I think is supposed to be an attempt at hardass American but sometimes just lapses into unhidden British .
2582	1	a	` Blue Crush ' swims away with the Sleeper Movie of the Summer award .
4547	1	a	Part of the film 's cheeky charm comes from its vintage schmaltz .
1241	1	a	Jason Patric and Ray Liotta make for one splendidly cast pair .
4901	1	a	Bound to appeal to women looking for a howlingly trashy time .
3097	0	a	It 's virtually impossible to like any of these despicable characters .
6618	0	a	Two badly interlocked stories drowned by all too clever complexity .
3521	1	a	A hugely rewarding experience that 's every bit as enlightening , insightful and entertaining as Grant 's two best films -- Four Weddings and a Funeral and Bridget Jones 's Diary .
3158	0	a	Queen of the Damned is too long with too little going on .
6098	0	a	The film has a kind of hard , cold effect .
3321	0	a	In that setting , their struggle is simply too ludicrous and borderline insulting .
3355	1	a	A passionately inquisitive film determined to uncover the truth and hopefully inspire action .
4896	1	a	Some of the most inventive silliness you are likely to witness in a movie theatre for some time .
3588	0	a	This 90-minute dud could pass for Mike Tyson 's E !
4804	1	a	An animation landmark as monumental as Disney 's 1937 breakthrough Snow White and the Seven Dwarfs .
3372	1	a	A true pleasure .
3317	0	a	Unfortunately , One Hour Photo lives down to its title .
5020	1	a	Although shot with little style , Skins is heartfelt and achingly real .
